"Date","Time","State.UnionTerritory","ConfirmedIndianNational","ConfirmedForeignNational","CFR","Recovery_Rate","Population_State","Cases_type","Cases_counts"
2020-03-18,"6:00 PM","Maharashtra",39,3,2.38,0,123144223,"Cured",0
2020-03-18,"6:00 PM","Odisha",1,0,0,0,46356334,"Cured",0
2020-03-18,"6:00 PM","Puducherry",1,0,0,0,1413542,"Cured",0
2020-03-18,"6:00 PM","Punjab",1,0,0,0,30141373,"Cured",0
2020-03-18,"6:00 PM","Rajasthan",2,2,0,75,81032689,"Cured",3
2020-03-18,"6:00 PM","Tamil Nadu",1,0,0,0,77841267,"Cured",0
2020-03-18,"6:00 PM","Telangana",4,2,0,16.67,39362732,"Cured",1
2020-03-18,"6:00 PM","Jammu and Kashmir",3,0,0,0,13606320,"Cured",0
2020-03-18,"6:00 PM","Ladakh",8,0,0,0,289023,"Cured",0
2020-03-18,"6:00 PM","Uttar Pradesh",15,1,0,31.25,237882725,"Cured",5
2020-03-18,"6:00 PM","Uttarakhand",1,0,0,0,11250858,"Cured",0
2020-03-18,"6:00 PM","West Bengal",1,0,0,0,99609303,"Cured",0
2020-03-19,"6:00 PM","Andhra Pradesh",2,0,0,0,53903393,"Cured",0
2020-03-19,"6:00 PM","Chhattisgarh",1,0,0,0,29436231,"Cured",0
2020-03-19,"6:00 PM","Delhi",11,1,8.33,25,18710922,"Cured",3
2020-03-19,"6:00 PM","Haryana",3,14,0,0,28204692,"Cured",0
2020-03-19,"6:00 PM","Karnataka",14,0,7.14,0,67562686,"Cured",0
2020-03-19,"6:00 PM","Kerala",25,2,0,11.11,35699443,"Cured",3
2020-03-19,"6:00 PM","Maharashtra",44,3,2.13,0,123144223,"Cured",0
2020-03-19,"6:00 PM","Odisha",1,0,0,0,46356334,"Cured",0
2020-03-19,"6:00 PM","Puducherry",1,0,0,0,1413542,"Cured",0
2020-03-19,"6:00 PM","Punjab",2,0,50,0,30141373,"Cured",0
2020-03-19,"6:00 PM","Rajasthan",5,2,0,42.86,81032689,"Cured",3
2020-03-19,"6:00 PM","Tamil Nadu",2,0,0,50,77841267,"Cured",1
2020-03-19,"6:00 PM","Telangana",4,2,0,16.67,39362732,"Cured",1
2020-03-19,"6:00 PM","Chandigarh",1,0,0,0,1158473,"Cured",0
2020-03-19,"6:00 PM","Jammu and Kashmir",4,0,0,0,13606320,"Cured",0
2020-03-19,"6:00 PM","Ladakh",8,0,0,0,289023,"Cured",0
2020-03-19,"6:00 PM","Uttar Pradesh",18,1,0,47.37,237882725,"Cured",9
2020-03-19,"6:00 PM","Uttarakhand",1,0,0,0,11250858,"Cured",0
2020-03-19,"6:00 PM","West Bengal",1,0,0,0,99609303,"Cured",0
2020-03-20,"6:00 PM","Andhra Pradesh",3,0,0,0,53903393,"Cured",0
2020-03-20,"6:00 PM","Chhattisgarh",1,0,0,0,29436231,"Cured",0
2020-03-20,"6:00 PM","Delhi",16,1,5.88,29.41,18710922,"Cured",5
2020-03-20,"6:00 PM","Gujarat",5,0,0,0,63872399,"Cured",0
2020-03-20,"6:00 PM","Haryana",3,14,0,0,28204692,"Cured",0
2020-03-20,"6:00 PM","Karnataka",15,0,6.67,6.67,67562686,"Cured",1
2020-03-20,"6:00 PM","Kerala",26,2,0,10.71,35699443,"Cured",3
2020-03-20,"6:00 PM","Maharashtra",49,3,1.92,0,123144223,"Cured",0
2020-03-20,"6:00 PM","Odisha",2,0,0,0,46356334,"Cured",0
2020-03-20,"6:00 PM","Puducherry",1,0,0,0,1413542,"Cured",0
2020-03-20,"6:00 PM","Punjab",2,0,50,0,30141373,"Cured",0
2020-03-20,"6:00 PM","Rajasthan",15,2,0,17.65,81032689,"Cured",3
2020-03-20,"6:00 PM","Tamil Nadu",3,0,0,33.33,77841267,"Cured",1
2020-03-20,"6:00 PM","Telangana",8,9,0,5.88,39362732,"Cured",1
2020-03-20,"6:00 PM","Chandigarh",1,0,0,0,1158473,"Cured",0
2020-03-20,"6:00 PM","Jammu and Kashmir",4,0,0,0,13606320,"Cured",0
2020-03-20,"6:00 PM","Ladakh",10,0,0,0,289023,"Cured",0
2020-03-20,"6:00 PM","Uttar Pradesh",22,1,0,39.13,237882725,"Cured",9
2020-03-20,"6:00 PM","Uttarakhand",3,0,0,0,11250858,"Cured",0
2020-03-20,"6:00 PM","West Bengal",2,0,0,0,99609303,"Cured",0
2020-03-21,"6:00 PM","Andhra Pradesh",3,0,0,0,53903393,"Cured",0
2020-03-21,"6:00 PM","Chhattisgarh",1,0,0,0,29436231,"Cured",0
2020-03-21,"6:00 PM","Delhi",25,1,3.85,19.23,18710922,"Cured",5
2020-03-21,"6:00 PM","Gujarat",7,0,0,0,63872399,"Cured",0
2020-03-21,"6:00 PM","Haryana",3,14,0,0,28204692,"Cured",0
2020-03-21,"6:00 PM","Himachal Pradesh",2,0,0,0,7451955,"Cured",0
2020-03-21,"6:00 PM","Karnataka",15,0,6.67,6.67,67562686,"Cured",1
2020-03-21,"6:00 PM","Kerala",33,7,0,7.5,35699443,"Cured",3
2020-03-21,"6:00 PM","Madhya Pradesh",4,0,0,0,85358965,"Cured",0
2020-03-21,"6:00 PM","Maharashtra",60,3,1.59,0,123144223,"Cured",0
2020-03-21,"6:00 PM","Odisha",2,0,0,0,46356334,"Cured",0
2020-03-21,"6:00 PM","Puducherry",1,0,0,0,1413542,"Cured",0
2020-03-21,"6:00 PM","Punjab",13,0,7.69,0,30141373,"Cured",0
2020-03-21,"6:00 PM","Rajasthan",15,2,0,17.65,81032689,"Cured",3
2020-03-21,"6:00 PM","Tamil Nadu",3,0,0,33.33,77841267,"Cured",1
2020-03-21,"6:00 PM","Telangana",10,11,0,4.76,39362732,"Cured",1
2020-03-21,"6:00 PM","Chandigarh",1,0,0,0,1158473,"Cured",0
2020-03-21,"6:00 PM","Jammu and Kashmir",4,0,0,0,13606320,"Cured",0
2020-03-21,"6:00 PM","Ladakh",13,0,0,0,289023,"Cured",0
2020-03-21,"6:00 PM","Uttar Pradesh",23,1,0,37.5,237882725,"Cured",9
2020-03-21,"6:00 PM","Uttarakhand",3,0,0,0,11250858,"Cured",0
2020-03-21,"6:00 PM","West Bengal",3,0,0,0,99609303,"Cured",0
2020-03-22,"6:00 PM","Andhra Pradesh",5,0,0,0,53903393,"Cured",0
2020-03-22,"6:00 PM","Bihar",2,0,50,0,124799926,"Cured",0
2020-03-22,"6:00 PM","Chhattisgarh",1,0,0,0,29436231,"Cured",0
2020-03-22,"6:00 PM","Delhi",28,1,3.45,17.24,18710922,"Cured",5
2020-03-22,"6:00 PM","Gujarat",18,0,5.56,0,63872399,"Cured",0
2020-03-22,"6:00 PM","Haryana",7,14,0,0,28204692,"Cured",0
2020-03-22,"6:00 PM","Himachal Pradesh",2,0,0,0,7451955,"Cured",0
2020-03-22,"6:00 PM","Karnataka",26,0,3.85,7.69,67562686,"Cured",2
2020-03-22,"6:00 PM","Kerala",45,7,0,5.77,35699443,"Cured",3
2020-03-22,"6:00 PM","Madhya Pradesh",4,0,0,0,85358965,"Cured",0
2020-03-22,"6:00 PM","Maharashtra",64,3,2.99,0,123144223,"Cured",0
