"location","iso_code","continent","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million"
"Norway","NOR","Europe",2021-02-14,309234,236983,72251,114,12000,5.7,4.37,1.33,2214
"Oman","OMN","Asia",2021-02-14,48819,36547,12272,1621,1407,0.96,0.72,0.24,276
"Poland","POL","Europe",2021-02-14,2122245,1476274,645971,15156,66505,5.61,3.9,1.71,1757
"Portugal","PRT","Europe",2021-02-14,523349,328819,194530,17978,18206,5.13,3.22,1.91,1785
"Romania","ROU","Europe",2021-02-14,1113975,686635,427340,29879,36808,5.79,3.57,2.22,1913
"Slovakia","SVK","Europe",2021-02-14,299564,236882,62682,10808,11742,5.49,4.34,1.15,2151
"Slovenia","SVN","Europe",2021-02-14,122689,73420,49269,32,3118,5.9,3.53,2.37,1500
"Switzerland","CHE","Europe",2021-02-14,542617,440374,102243,31342,18461,6.27,5.09,1.18,2133
"Turkey","TUR","Asia",2021-02-14,3825101,3336164,488937,115205,173515,4.54,3.96,0.58,2057
"United Kingdom","GBR","Europe",2021-02-14,15839781,15300151,539630,239877,433313,23.33,22.54,0.79,6383
"United States","USA","Americas",2021-02-14,52884356,38292270,14077440,2242472,1667631,15.81,11.45,4.21,4986
"Argentina","ARG","Americas",2021-02-13,606245,371629,234616,14613,19266,1.34,0.82,0.52,426
"Austria","AUT","Europe",2021-02-13,461723,280007,181716,10301,16582,5.13,3.11,2.02,1841
"Belgium","BEL","Europe",2021-02-13,613264,386089,227175,8578,20693,5.29,3.33,1.96,1785
"Brazil","BRA","Americas",2021-02-13,5125206,4946738,178468,429070,246260,2.41,2.33,0.08,1159
"Bulgaria","BGR","Europe",2021-02-13,75320,54646,20674,626,2615,1.08,0.79,0.3,376
"Canada","CAN","Americas",2021-02-13,1255076,967606,287470,33237,27244,3.33,2.56,0.76,722
"Chile","CHL","Americas",2021-02-13,1921866,1866076,55790,29541,185364,10.05,9.76,0.29,9697
"Czechia","CZE","Europe",2021-02-13,459261,292540,166721,4521,14599,4.29,2.73,1.56,1363
"Denmark","DNK","Europe",2021-02-13,396055,228747,167308,7522,9441,6.84,3.95,2.89,1630
"Estonia","EST","Europe",2021-02-13,68146,46020,22126,2348,2183,5.14,3.47,1.67,1646
"Finland","FIN","Europe",2021-02-13,273115,206283,66832,11773,7896,4.93,3.72,1.21,1425
"France","FRA","Europe",2021-02-13,2883456,2249685,633771,43639,110545,4.23,3.3,0.93,1622
"Germany","DEU","Europe",2021-02-13,4165048,2731067,1433981,107660,121405,4.97,3.26,1.71,1449
"Gibraltar","GIB","Europe",2021-02-13,25287,15765,9522,1092,888,75.06,46.79,28.26,26357
"Greece","GRC","Europe",2021-02-13,526369,371462,154907,20331,18359,5.05,3.56,1.49,1761
"Hungary","HUN","Europe",2021-02-13,463383,335188,128195,8215,10252,4.8,3.47,1.33,1061
"India","IND","Asia",2021-02-13,8052454,8044786,7668,84807,325305,0.58,0.58,0,236
"Ireland","IRL","Europe",2021-02-13,268551,176926,91625,3314,4704,5.44,3.58,1.86,953
"Isle of Man","IMN","Europe",2021-02-13,13497,10170,3327,680,378,15.87,11.96,3.91,4445
"Israel","ISR","Asia",2021-02-13,6322388,3835786,2486602,57717,115421,73.04,44.32,28.73,13335
"Italy","ITA","Europe",2021-02-13,3019178,1712465,1306713,52279,63646,4.99,2.83,2.16,1053
"Latvia","LVA","Europe",2021-02-13,37405,21167,16238,401,751,1.98,1.12,0.86,398
"Lithuania","LTU","Europe",2021-02-13,154100,99354,54746,446,4073,5.66,3.65,2.01,1496
"Malta","MLT","Europe",2021-02-13,50175,34574,15601,1701,1798,11.36,7.83,3.53,4072
"Mexico","MEX","Americas",2021-02-13,726313,640125,86188,311,2302,0.56,0.5,0.07,18
"Norway","NOR","Europe",2021-02-13,309120,236873,72247,1200,12073,5.7,4.37,1.33,2227
"Oman","OMN","Asia",2021-02-13,47198,34926,12272,369,1200,0.92,0.68,0.24,235
"Poland","POL","Europe",2021-02-13,2107089,1466439,640650,36080,66562,5.57,3.87,1.69,1759
"Portugal","PRT","Europe",2021-02-13,505371,320677,184694,37052,15898,4.96,3.14,1.81,1559
"Romania","ROU","Europe",2021-02-13,1084096,683347,400749,35299,34755,5.64,3.55,2.08,1807
"Slovakia","SVK","Europe",2021-02-13,288756,226279,62477,4309,10224,5.29,4.14,1.14,1873
"Slovenia","SVN","Europe",2021-02-13,122657,73404,49253,899,3113,5.9,3.53,2.37,1497
"Turkey","TUR","Asia",2021-02-13,3709896,3253005,456891,305542,158311,4.4,3.86,0.54,1877
"United Kingdom","GBR","Europe",2021-02-13,15599904,15062189,537715,508208,439024,22.98,22.19,0.79,6467
"United States","USA","Americas",2021-02-13,50641884,37056122,13082172,2231326,1657703,15.14,11.08,3.91,4957
"Argentina","ARG","Americas",2021-02-12,591632,368023,223609,18704,19133,1.31,0.81,0.49,423
"Austria","AUT","Europe",2021-02-12,451422,274773,176649,26412,16390,5.01,3.05,1.96,1820
"Belgium","BEL","Europe",2021-02-12,604686,385486,219200,34084,20390,5.22,3.33,1.89,1759
"Brazil","BRA","Americas",2021-02-12,4696136,4586270,109866,289301,231604,2.21,2.16,0.05,1090
"Bulgaria","BGR","Europe",2021-02-12,74694,54123,20571,3571,2548,1.07,0.78,0.3,367
"Canada","CAN","Americas",2021-02-12,1221839,955013,266826,35150,25563,3.24,2.53,0.71,677
"Chile","CHL","Americas",2021-02-12,1892325,1836569,55756,229434,185123,9.9,9.61,0.29,9684
"Czechia","CZE","Europe",2021-02-12,454740,290973,163767,21285,14405,4.25,2.72,1.53,1345
"Denmark","DNK","Europe",2021-02-12,388533,222196,166337,19669,9479,6.71,3.84,2.87,1637
"Estonia","EST","Europe",2021-02-12,65798,44486,21312,4041,2286,4.96,3.35,1.61,1723
"Finland","FIN","Europe",2021-02-12,261342,197540,63802,13806,7720,4.72,3.57,1.15,1393
"France","FRA","Europe",2021-02-12,2839817,2225321,614496,152892,108969,4.17,3.27,0.9,1599
"Germany","DEU","Europe",2021-02-12,4057388,2669367,1388021,155904,120178,4.84,3.19,1.66,1434
"Gibraltar","GIB","Europe",2021-02-12,24195,15600,8595,1092,846,71.81,46.3,25.51,25111
"Greece","GRC","Europe",2021-02-12,506038,366749,139289,23622,17986,4.85,3.52,1.34,1726
"Hungary","HUN","Europe",2021-02-12,455168,330745,124423,24071,10587,4.71,3.42,1.29,1096
"Ireland","IRL","Europe",2021-02-12,265237,175238,89999,4164,4924,5.37,3.55,1.82,997
"Isle of Man","IMN","Europe",2021-02-12,12817,9489,3328,1,370,15.07,11.16,3.91,4351
"Israel","ISR","Asia",2021-02-12,6264671,3808406,2456265,76314,113412,72.38,44,28.38,13103
"Italy","ITA","Europe",2021-02-12,2966899,1666520,1300379,73159,67121,4.91,2.76,2.15,1110
"Latvia","LVA","Europe",2021-02-12,37004,20943,16061,1729,775,1.96,1.11,0.85,411
"Lithuania","LTU","Europe",2021-02-12,153654,98908,54746,7278,4113,5.64,3.63,2.01,1511
"Malta","MLT","Europe",2021-02-12,48474,33735,14739,2130,1828,10.98,7.64,3.34,4140
"Mexico","MEX","Americas",2021-02-12,726002,640115,85887,555,3669,0.56,0.5,0.07,28
"Norway","NOR","Europe",2021-02-12,307920,235979,71941,11665,12122,5.68,4.35,1.33,2236
"Oman","OMN","Asia",2021-02-12,46829,34557,12272,1764,1173,0.92,0.68,0.24,230
"Poland","POL","Europe",2021-02-12,2071009,1446102,624907,77270,64749,5.47,3.82,1.65,1711
"Portugal","PRT","Europe",2021-02-12,468319,310715,157604,32099,12706,4.59,3.05,1.55,1246
"Romania","ROU","Europe",2021-02-12,1048797,679333,369464,39376,32464,5.45,3.53,1.92,1688
"Slovakia","SVK","Europe",2021-02-12,284447,222389,62058,14088,10006,5.21,4.07,1.14,1833
"Slovenia","SVN","Europe",2021-02-12,121758,72694,49064,8603,3071,5.86,3.5,2.36,1477
"Turkey","TUR","Asia",2021-02-12,3404354,3067822,336532,558229,120650,4.04,3.64,0.4,1431
"United Kingdom","GBR","Europe",2021-02-12,15091696,14556827,534869,549378,445204,22.23,21.44,0.79,6558
"United States","USA","Americas",2021-02-12,48410558,35834855,12085830,2020288,1655907,14.48,10.71,3.61,4951
"Argentina","ARG","Americas",2021-02-11,572928,362649,210279,37625,18416,1.27,0.8,0.47,407
"Austria","AUT","Europe",2021-02-11,425010,266494,158516,24127,15588,4.72,2.96,1.76,1731
"Belgium","BEL","Europe",2021-02-11,570602,378869,191733,36022,19872,4.92,3.27,1.65,1715
"Brazil","BRA","Americas",2021-02-11,4406835,4326075,80760,286503,190540,2.07,2.04,0.04,896
"Bulgaria","BGR","Europe",2021-02-11,71123,51435,19688,4960,2443,1.02,0.74,0.28,352
"Canada","CAN","Americas",2021-02-11,1186689,942589,244100,32412,23803,3.14,2.5,0.65,631
"Chile","CHL","Americas",2021-02-11,1662891,1607343,55548,254104,176539,8.7,8.41,0.29,9235
"Czechia","CZE","Europe",2021-02-11,433455,284286,149169,22305,13652,4.05,2.65,1.39,1275
"Denmark","DNK","Europe",2021-02-11,368864,210153,158711,8125,8816,6.37,3.63,2.74,1522
"Estonia","EST","Europe",2021-02-11,61757,41731,20026,3496,2223,4.66,3.15,1.51,1676
"Finland","FIN","Europe",2021-02-11,247536,187384,60152,13761,7660,4.47,3.38,1.09,1382
"France","FRA","Europe",2021-02-11,2686925,2146212,540713,183990,103543,3.94,3.15,0.79,1519
"Germany","DEU","Europe",2021-02-11,3901484,2589150,1312334,141785,118287,4.66,3.09,1.57,1412
"Gibraltar","GIB","Europe",2021-02-11,23103,15436,7667,1104,845,68.57,45.82,22.76,25081
"Greece","GRC","Europe",2021-02-11,482416,360800,121616,22881,17528,4.63,3.46,1.17,1682
"Hungary","HUN","Europe",2021-02-11,431097,310448,120649,19105,10542,4.46,3.21,1.25,1091
"Indonesia","IDN","Asia",2021-02-11,1362791,1017186,345605,113994,80853,0.5,0.37,0.13,296
"Ireland","IRL","Europe",2021-02-11,261073,171239,89834,4392,5214,5.29,3.47,1.82,1056
"Isle of Man","IMN","Europe",2021-02-11,12816,9488,3328,375,372,15.07,11.16,3.91,4375
"Israel","ISR","Asia",2021-02-11,6188357,3769486,2418871,152336,111425,71.5,43.55,27.95,12873
"Italy","ITA","Europe",2021-02-11,2893740,1608067,1285673,74175,71879,4.79,2.66,2.13,1189
"Latvia","LVA","Europe",2021-02-11,35275,19767,15508,1783,766,1.87,1.05,0.82,406
"Lithuania","LTU","Europe",2021-02-11,146376,92606,53770,9043,4109,5.38,3.4,1.98,1509
"Luxembourg","LUX","Europe",2021-02-11,21390,16131,5259,1467,710,3.42,2.58,0.84,1134
"Malta","MLT","Europe",2021-02-11,46344,32524,13820,1746,1838,10.5,7.37,3.13,4163
"Mexico","MEX","Americas",2021-02-11,725447,640115,85332,740,4337,0.56,0.5,0.07,34
"Norway","NOR","Europe",2021-02-11,296255,227927,68328,29526,12669,5.46,4.2,1.26,2337
"Oman","OMN","Asia",2021-02-11,45065,32793,12272,1832,946,0.88,0.64,0.24,185
"Portugal","PRT","Europe",2021-02-11,436220,303142,133078,20937,10287,4.28,2.97,1.31,1009
"Romania","ROU","Europe",2021-02-11,1009421,675234,334187,38454,30661,5.25,3.51,1.74,1594
"Seychelles","SYC","Africa",2021-02-11,51819,37952,13867,3758,2005,52.69,38.59,14.1,20388
"Slovakia","SVK","Europe",2021-02-11,270359,214694,55665,13790,10143,4.95,3.93,1.02,1858
"Slovenia","SVN","Europe",2021-02-11,113155,65823,47332,8573,2648,5.44,3.17,2.28,1274
"Spain","ESP","Europe",2021-02-11,2423045,1422560,1000485,102538,62126,5.18,3.04,2.14,1329
"United Kingdom","GBR","Europe",2021-02-11,14542318,14012224,530094,508763,437897,21.42,20.64,0.78,6450
"United States","USA","Americas",2021-02-11,46390270,34723964,11188782,1620300,1598080,13.87,10.38,3.35,4778
"Argentina","ARG","Americas",2021-02-10,535303,337772,197531,22125,19820,1.18,0.75,0.44,439
"Austria","AUT","Europe",2021-02-10,400883,261288,139595,21586,15004,4.45,2.9,1.55,1666
"Belgium","BEL","Europe",2021-02-10,534580,370880,163700,25237,19543,4.61,3.2,1.41,1686
"Brazil","BRA","Americas",2021-02-10,4120332,4069677,50655,300125,228375,1.94,1.91,0.02,1074
"Bulgaria","BGR","Europe",2021-02-10,66163,47551,18612,3735,2291,0.95,0.68,0.27,330
"Canada","CAN","Americas",2021-02-10,1154277,930286,223991,29760,21830,3.06,2.46,0.59,578
"Cayman Islands","CYM","Americas",2021-02-10,14086,8912,5174,477,479,21.43,13.56,7.87,7288
"Chile","CHL","Americas",2021-02-10,1408787,1356122,52665,280814,165403,7.37,7.09,0.28,8653
"Czechia","CZE","Europe",2021-02-10,411150,278030,133120,18588,13002,3.84,2.6,1.24,1214
"Denmark","DNK","Europe",2021-02-10,360739,204482,156257,7194,9415,6.23,3.53,2.7,1625
"Finland","FIN","Europe",2021-02-10,233775,178005,55770,6348,8629,4.22,3.21,1.01,1557
"France","FRA","Europe",2021-02-10,2502935,2060675,442260,146073,96708,3.67,3.02,0.65,1419
"Germany","DEU","Europe",2021-02-10,3759699,2515485,1244214,148704,116733,4.49,3,1.49,1393
"Gibraltar","GIB","Europe",2021-02-10,21999,15262,6737,978,832,65.3,45.3,20,24695
"Greece","GRC","Europe",2021-02-10,459535,353412,106123,21663,17345,4.41,3.39,1.02,1664
"Hungary","HUN","Europe",2021-02-10,411992,294624,117368,5795,11123,4.26,3.05,1.21,1151
"Indonesia","IDN","Asia",2021-02-10,1248797,969546,279251,181937,75879,0.46,0.35,0.1,277
"Ireland","IRL","Europe",2021-02-10,256681,166863,89818,8397,5472,5.2,3.38,1.82,1108
"Isle of Man","IMN","Europe",2021-02-10,12441,9485,2956,415,411,14.63,11.15,3.48,4833
"Israel","ISR","Asia",2021-02-10,6036021,3688639,2347382,142196,108269,69.74,42.62,27.12,12509
"Italy","ITA","Europe",2021-02-10,2819565,1552854,1266711,72137,76530,4.66,2.57,2.1,1266
"Latvia","LVA","Europe",2021-02-10,33492,18664,14828,626,726,1.78,0.99,0.79,385
"Lithuania","LTU","Europe",2021-02-10,137333,84868,52465,6149,4222,5.04,3.12,1.93,1551
"Luxembourg","LUX","Europe",2021-02-10,19923,15052,4871,1270,645,3.18,2.4,0.78,1030
"Malta","MLT","Europe",2021-02-10,44598,31670,12928,1261,1852,10.1,7.17,2.93,4194
"Mexico","MEX","Americas",2021-02-10,724707,640115,84592,360,5444,0.56,0.5,0.07,42
"Norway","NOR","Europe",2021-02-10,266729,206982,59747,31665,13401,4.92,3.82,1.1,2472
"Oman","OMN","Asia",2021-02-10,43233,30961,12272,2041,709,0.85,0.61,0.24,139
"Portugal","PRT","Europe",2021-02-10,415283,298724,116559,15093,9191,4.07,2.93,1.14,901
"Romania","ROU","Europe",2021-02-10,970967,671449,299518,40812,28395,5.05,3.49,1.56,1476
"Seychelles","SYC","Africa",2021-02-10,48061,37726,10335,3638,1567,48.87,38.36,10.51,15935
"Slovakia","SVK","Europe",2021-02-10,256569,207505,49064,13061,10233,4.7,3.8,0.9,1874
"Slovenia","SVN","Europe",2021-02-10,104582,59000,45582,3200,2479,5.03,2.84,2.19,1192
"Spain","ESP","Europe",2021-02-10,2320507,1377229,943278,87258,65024,4.96,2.95,2.02,1391
"United Kingdom","GBR","Europe",2021-02-10,14033555,13509108,524447,455704,434444,20.67,19.9,0.77,6400
"United States","USA","Americas",2021-02-10,44769970,33783384,10469514,1563780,1555959,13.39,10.1,3.13,4652
"Argentina","ARG","Americas",2021-02-09,513178,322975,190203,1596,18139,1.14,0.71,0.42,401
"Austria","AUT","Europe",2021-02-09,379297,257761,121536,19079,14451,4.21,2.86,1.35,1605
"Belgium","BEL","Europe",2021-02-09,509343,364258,145085,27495,20303,4.39,3.14,1.25,1752
"Brazil","BRA","Americas",2021-02-09,3820207,3786591,33616,214669,218237,1.8,1.78,0.02,1027
"Bulgaria","BGR","Europe",2021-02-09,62428,44482,17946,3540,2359,0.9,0.64,0.26,340
"Canada","CAN","Americas",2021-02-09,1124517,920458,204059,25771,19474,2.98,2.44,0.54,516
"Chile","CHL","Americas",2021-02-09,1127973,1083642,44331,261820,149621,5.9,5.67,0.23,7827
"Czechia","CZE","Europe",2021-02-09,392562,272518,120044,16864,12535,3.67,2.54,1.12,1171
"Denmark","DNK","Europe",2021-02-09,353545,201199,152346,8457,9491,6.1,3.47,2.63,1639
"Finland","FIN","Europe",2021-02-09,227427,173558,53869,6791,9065,4.1,3.13,0.97,1636
"France","FRA","Europe",2021-02-09,2356862,1990860,366002,140036,91354,3.46,2.92,0.54,1341
"Germany","DEU","Europe",2021-02-09,3610995,2441793,1169202,132393,118008,4.31,2.91,1.4,1408
"Gibraltar","GIB","Europe",2021-02-09,21021,14302,6719,977,804,62.39,42.45,19.94,23864
"Greece","GRC","Europe",2021-02-09,437872,345290,92582,20307,17463,4.2,3.31,0.89,1675
"Hungary","HUN","Europe",2021-02-09,406197,292627,113570,4406,11984,4.2,3.03,1.18,1241
"Indonesia","IDN","Asia",2021-02-09,1066860,845407,221453,81005,59800,0.39,0.31,0.08,219
"Ireland","IRL","Europe",2021-02-09,248284,158904,89380,4931,5157,5.03,3.22,1.81,1044
"Isle of Man","IMN","Europe",2021-02-09,12026,9469,2557,372,532,14.14,11.14,3.01,6256
"Israel","ISR","Asia",2021-02-09,5893825,3618352,2275473,133317,103851,68.09,41.8,26.29,11998
"Italy","ITA","Europe",2021-02-09,2747428,1507932,1239496,66193,80400,4.54,2.49,2.05,1330
"Latvia","LVA","Europe",2021-02-09,32866,18235,14631,184,868,1.74,0.97,0.78,460
"Lithuania","LTU","Europe",2021-02-09,131184,80350,50834,2847,4313,4.82,2.95,1.87,1584
"Luxembourg","LUX","Europe",2021-02-09,18653,14227,4426,514,629,2.98,2.27,0.71,1005
"Malta","MLT","Europe",2021-02-09,43337,31202,12135,2052,1869,9.81,7.07,2.75,4233
"Mexico","MEX","Americas",2021-02-09,724347,640129,84218,6527,6687,0.56,0.5,0.07,52
"Norway","NOR","Europe",2021-02-09,235064,183983,51081,8787,13660,4.34,3.39,0.94,2520
"Oman","OMN","Asia",2021-02-09,41192,28920,12272,2046,442,0.81,0.57,0.24,87
"Portugal","PRT","Europe",2021-02-09,400190,294135,106055,3819,8296,3.92,2.88,1.04,814
"Romania","ROU","Europe",2021-02-09,930155,666943,263212,38807,25918,4.84,3.47,1.37,1347
"Seychelles","SYC","Africa",2021-02-09,44423,37723,6700,2729,1163,45.17,38.36,6.81,11826
"Slovakia","SVK","Europe",2021-02-09,243508,200950,42558,14859,10039,4.46,3.68,0.78,1839
"Slovenia","SVN","Europe",2021-02-09,101382,56506,44876,119,2707,4.88,2.72,2.16,1302
"Spain","ESP","Europe",2021-02-09,2233249,1343566,889683,66008,66924,4.78,2.87,1.9,1431
"United Kingdom","GBR","Europe",2021-02-09,13577851,13058298,519553,414973,436774,20,19.24,0.77,6434
"United States","USA","Americas",2021-02-09,43206190,32867213,9840429,788573,1489333,12.92,9.83,2.94,4453
"Argentina","ARG","Americas",2021-02-08,511582,322318,189264,10430,19390,1.13,0.71,0.42,429
"Austria","AUT","Europe",2021-02-08,360218,254943,105275,9581,14160,4,2.83,1.17,1572
"Belgium","BEL","Europe",2021-02-08,481848,356206,125642,10069,19783,4.16,3.07,1.08,1707
"Brazil","BRA","Americas",2021-02-08,3605538,3579850,25688,51857,211604,1.7,1.68,0.01,996
"Bulgaria","BGR","Europe",2021-02-08,58888,41407,17481,1850,2322,0.85,0.6,0.25,334
"Canada","CAN","Americas",2021-02-08,1098746,911312,187434,21449,17608,2.91,2.41,0.5,467
"Chile","CHL","Americas",2021-02-08,866153,841186,24967,233200,114104,4.53,4.4,0.13,5969
"Czechia","CZE","Europe",2021-02-08,375698,267489,108209,15322,12163,3.51,2.5,1.01,1136
"Denmark","DNK","Europe",2021-02-08,345088,197647,147441,9577,9005,5.96,3.41,2.55,1555
"Estonia","EST","Europe",2021-02-08,53481,35917,17564,57,2127,4.03,2.71,1.32,1603
"Finland","FIN","Europe",2021-02-08,220636,170641,49995,520,8125,3.98,3.08,0.9,1466
"France","FRA","Europe",2021-02-08,2216826,1922706,294120,96608,86822,3.25,2.82,0.43,1274
"Germany","DEU","Europe",2021-02-08,3478602,2382506,1096096,109852,117708,4.15,2.84,1.31,1405
"Gibraltar","GIB","Europe",2021-02-08,20044,13904,6140,972,821,59.49,41.27,18.22,24369
"Hungary","HUN","Europe",2021-02-08,401791,291396,110395,5157,12876,4.16,3.02,1.14,1333
"Indonesia","IDN","Asia",2021-02-08,985855,814585,171270,62406,58702,0.36,0.3,0.06,215
"Ireland","IRL","Europe",2021-02-08,243353,154900,88453,2866,5337,4.93,3.14,1.79,1081
"Isle of Man","IMN","Europe",2021-02-08,11654,9466,2188,407,530,13.71,11.13,2.57,6233
"Israel","ISR","Asia",2021-02-08,5760508,3552272,2208236,123633,99195,66.55,41.04,25.51,11460
"Italy","ITA","Europe",2021-02-08,2681235,1473361,1207874,66118,83468,4.43,2.44,2,1381
"Latvia","LVA","Europe",2021-02-08,32682,18094,14588,411,1100,1.73,0.96,0.77,583
"Lithuania","LTU","Europe",2021-02-08,128337,79275,49062,2651,4459,4.71,2.91,1.8,1638
"Luxembourg","LUX","Europe",2021-02-08,18139,14089,4050,511,700,2.9,2.25,0.65,1118
"Malta","MLT","Europe",2021-02-08,41285,30235,11050,2028,1755,9.35,6.85,2.5,3975
"Mexico","MEX","Americas",2021-02-08,717820,638391,79429,4303,6088,0.56,0.5,0.06,47
"Norway","NOR","Europe",2021-02-08,226277,178438,47839,1045,13762,4.17,3.29,0.88,2539
"Portugal","PRT","Europe",2021-02-08,396371,291758,104613,467,8258,3.89,2.86,1.03,810
"Romania","ROU","Europe",2021-02-08,891348,661063,230285,35026,24309,4.63,3.44,1.2,1264
"Slovakia","SVK","Europe",2021-02-08,228649,193631,35018,11282,9668,4.19,3.55,0.64,1771
"Slovenia","SVN","Europe",2021-02-08,101263,56418,44845,398,2849,4.87,2.71,2.16,1370
"Spain","ESP","Europe",2021-02-08,2167241,1328459,838782,62208,70598,4.64,2.84,1.79,1510
"United Kingdom","GBR","Europe",2021-02-08,13162878,12646486,516392,356291,431338,19.39,18.63,0.76,6354
"United States","USA","Americas",2021-02-08,42417617,32340146,9518015,1206680,1456459,12.68,9.67,2.85,4355
"Argentina","ARG","Americas",2021-02-07,501152,319316,181836,29769,18576,1.11,0.71,0.4,411
"Austria","AUT","Europe",2021-02-07,350637,252913,97724,4989,13451,3.89,2.81,1.09,1493
"Belgium","BEL","Europe",2021-02-07,471779,353869,117910,3366,19441,4.07,3.05,1.02,1677
"Brazil","BRA","Americas",2021-02-07,3553681,3534004,19677,152298,211375,1.67,1.66,0.01,994
"Bulgaria","BGR","Europe",2021-02-07,57038,39646,17392,22,2273,0.82,0.57,0.25,327
"Canada","CAN","Americas",2021-02-07,1077297,900713,176584,12927,17153,2.85,2.39,0.47,454
"Chile","CHL","Americas",2021-02-07,632953,619758,13195,8636,80789,3.31,3.24,0.07,4226
"Czechia","CZE","Europe",2021-02-07,360376,263485,96891,3311,11659,3.37,2.46,0.9,1089
"Denmark","DNK","Europe",2021-02-07,335511,195105,140406,5541,8871,5.79,3.37,2.42,1532
"Estonia","EST","Europe",2021-02-07,53424,35905,17519,556,2196,4.03,2.71,1.32,1655
"Finland","FIN","Europe",2021-02-07,220116,170335,49781,2272,8157,3.97,3.07,0.9,1472
"France","FRA","Europe",2021-02-07,2120218,1871604,248614,10577,83798,3.11,2.75,0.36,1230
"Germany","DEU","Europe",2021-02-07,3368750,2329162,1039588,53537,119316,4.02,2.78,1.24,1424
"Gibraltar","GIB","Europe",2021-02-07,19072,13499,5573,0,827,56.61,40.07,16.54,24547
"Hungary","HUN","Europe",2021-02-07,396634,289042,107592,5013,13928,4.11,2.99,1.11,1442
"Indonesia","IDN","Asia",2021-02-07,923449,784318,139131,9146,58253,0.34,0.29,0.05,213
"Isle of Man","IMN","Europe",2021-02-07,11247,9063,2184,395,524,13.23,10.66,2.57,6162
"Israel","ISR","Asia",2021-02-07,5636875,3493811,2143064,122437,98306,65.12,40.37,24.76,11358
"Italy","ITA","Europe",2021-02-07,2615117,1446574,1168543,41458,86216,4.33,2.39,1.93,1426
"Latvia","LVA","Europe",2021-02-07,32271,17838,14433,125,1150,1.71,0.95,0.77,610
"Lithuania","LTU","Europe",2021-02-07,125686,79049,46637,97,4492,4.62,2.9,1.71,1650
"Malta","MLT","Europe",2021-02-07,39257,29339,9918,1671,1643,8.89,6.64,2.25,3721
"Mexico","MEX","Americas",2021-02-07,713517,637681,75836,3319,5741,0.55,0.49,0.06,45
"Norway","NOR","Europe",2021-02-07,225232,178315,46917,620,13684,4.15,3.29,0.87,2524
"Poland","POL","Europe",2021-02-07,1656708,1206212,450496,15550,68543,4.38,3.19,1.19,1811
"Portugal","PRT","Europe",2021-02-07,395904,291378,104526,1816,8448,3.88,2.86,1.03,829
"Romania","ROU","Europe",2021-02-07,856322,656178,200144,15510,23558,4.45,3.41,1.04,1225
"Slovakia","SVK","Europe",2021-02-07,217367,186235,31132,180,9736,3.98,3.41,0.57,1783
"Slovenia","SVN","Europe",2021-02-07,100865,56020,44845,0,2800,4.85,2.69,2.16,1347
"United Kingdom","GBR","Europe",2021-02-07,12806587,12294006,512581,279850,430859,18.86,18.11,0.76,6347
"United States","USA","Americas",2021-02-07,41210937,31579100,9147185,2172973,1441091,12.32,9.44,2.74,4309
"Austria","AUT","Europe",2021-02-06,345648,252311,93337,8956,12932,3.84,2.8,1.04,1436
"Belgium","BEL","Europe",2021-02-06,468413,353561,114852,6456,19089,4.04,3.05,0.99,1647
"Brazil","BRA","Americas",2021-02-06,3401383,3399421,1962,326477,199739,1.6,1.6,0,940
"Bulgaria","BGR","Europe",2021-02-06,57016,39624,17392,156,2285,0.82,0.57,0.25,329
"Canada","CAN","Americas",2021-02-06,1064370,895383,168987,21469,16023,2.82,2.37,0.45,425
"Chile","CHL","Americas",2021-02-06,624317,611123,13194,27856,79556,3.27,3.2,0.07,4162
"Czechia","CZE","Europe",2021-02-06,357065,262642,94423,3162,11448,3.33,2.45,0.88,1069
"Denmark","DNK","Europe",2021-02-06,329970,193202,136768,7793,10009,5.7,3.34,2.36,1728
"Estonia","EST","Europe",2021-02-06,52868,35492,17376,3070,2234,3.99,2.68,1.31,1684
"Finland","FIN","Europe",2021-02-06,217844,169194,48650,10541,7938,3.93,3.05,0.88,1433
"France","FRA","Europe",2021-02-06,2109641,1866091,243550,32604,83466,3.1,2.74,0.36,1225
"Germany","DEU","Europe",2021-02-06,3315213,2301058,1014155,99071,119871,3.96,2.75,1.21,1431
"Gibraltar","GIB","Europe",2021-02-06,19072,13499,5573,798,887,56.61,40.07,16.54,26328
"Greece","GRC","Europe",2021-02-06,397857,318097,79760,17721,18081,3.82,3.05,0.77,1735
"Hungary","HUN","Europe",2021-02-06,391621,286379,105242,10559,16113,4.05,2.96,1.09,1668
"Indonesia","IDN","Asia",2021-02-06,914303,777096,137207,48694,58764,0.33,0.28,0.05,215
"Isle of Man","IMN","Europe",2021-02-06,10852,8669,2183,628,519,12.76,10.19,2.57,6104
"Israel","ISR","Asia",2021-02-06,5514438,3439883,2074555,43651,99736,63.71,39.74,23.97,11523
"Italy","ITA","Europe",2021-02-06,2573659,1437415,1136244,76604,88772,4.26,2.38,1.88,1468
"Latvia","LVA","Europe",2021-02-06,32146,17836,14310,566,1241,1.7,0.95,0.76,658
"Lithuania","LTU","Europe",2021-02-06,125589,79047,46542,726,4479,4.61,2.9,1.71,1645
