"date","CLOSE"
2019-09-09,45.55
2019-09-11,48.3
2019-09-12,48.85
2019-09-13,50.2
2019-09-16,55.55
2019-09-17,54.75
2019-09-18,53.2
2019-09-19,50.15
2019-09-20,51.55
2019-09-23,51.95
2019-09-24,52.5
2019-09-25,52.5
2019-09-26,59.05
2019-09-27,57.3
2019-09-30,58.25
2019-10-01,56.65
2019-10-03,61.2
2019-10-04,65.05
2019-10-07,68
2019-10-09,71.3
2019-10-10,73.7
2019-10-11,78.8
2019-10-14,79.1
2019-10-15,79.95
2019-10-16,80.15
2019-10-17,88.7
2019-10-18,89.7
2019-10-22,86.55
2019-10-23,86.6
2019-10-24,86.1
2019-10-25,88.95
2019-10-27,90.15
2019-10-29,89.5
2019-10-30,89.85
2019-10-31,89.65
2019-11-01,89.85
2019-11-04,92.65
2019-11-05,90.65
2019-11-06,90.3
2019-11-07,88.7
2019-11-08,86.7
2019-11-11,93.6
2019-11-13,95.95
2019-11-14,94.95
2019-11-15,95.5
2019-11-18,94
2019-11-19,96.2
2019-11-20,98.7
2019-11-21,96.95
2019-11-22,106.6
2019-11-25,114.2
2019-11-26,115.15
2019-11-27,125.85
2019-11-28,132.1
2019-11-29,137.2
2019-12-02,131.25
2019-12-03,124.7
2019-12-04,128.55
2019-12-05,129.85
2019-12-06,126.4
2019-12-09,124.4
2019-12-10,127
2019-12-11,132.9
2019-12-12,131.55
2019-12-13,132.6
2019-12-16,134.4
2019-12-17,135.45
2019-12-18,134.95
2019-12-19,134.1
2019-12-20,135
2019-12-23,141.75
2019-12-24,148.8
2019-12-26,156.2
2019-12-27,151.05
2019-12-30,158.6
2019-12-31,166.5
2020-01-01,174.8
2020-01-02,183.5
2020-01-03,192.65
2020-01-06,200.2
2020-01-07,210.2
2020-01-08,220.7
2020-01-09,231.7
2020-01-10,220.15
2020-01-13,209.15
2020-01-14,198.7
2020-01-15,188.8
2020-01-16,179.4
2020-01-17,188.35
2020-01-20,197.75
2020-01-21,202.2
2020-01-22,197.55
2020-01-23,192.35
2020-01-24,190
2020-01-27,190.8
2020-01-28,187.45
2020-01-29,186.35
2020-01-30,180.45
2020-01-31,189.45
2020-02-01,186.35
2020-02-03,195.65
2020-02-04,197.9
2020-02-05,192.6
2020-02-06,202.2
2020-02-07,212.3
2020-02-10,213.2
2020-02-11,211.2
2020-02-12,207.5
2020-02-13,199.75
2020-02-14,206.95
2020-02-17,198.45
2020-02-18,189.3
2020-02-19,197.85
2020-02-20,194.95
2020-02-24,185.85
2020-02-25,180.3
2020-02-26,171.35
2020-02-27,162.8
2020-02-28,154.9
2020-03-02,155.25
2020-03-03,159.65
2020-03-04,152.15
2020-03-05,152.55
2020-03-06,144.95
2020-03-09,137.75
2020-03-11,130.9
2020-03-12,124.4
2020-03-13,124.8
2020-03-16,118.6
2020-03-17,123.3
2020-03-18,129.35
2020-03-19,135.4
2020-03-20,142.05
2020-03-23,134.95
2020-03-24,141.25
2020-03-25,148.15
2020-03-26,152.1
2020-03-27,148.7
2020-03-30,147.25
2020-03-31,153.65
2020-04-01,152.65
2020-04-03,152.95
2020-04-07,159
2020-04-08,166.5
2020-04-09,174.8
2020-04-13,183.4
2020-04-15,187.85
2020-04-16,193.65
2020-04-17,198.75
2020-04-20,201
2020-04-21,191.5
2020-04-22,196.7
2020-04-23,200
2020-04-24,196.05
2020-04-27,200.45
2020-04-28,203.4
2020-04-29,207.9
2020-04-30,210.25
2020-05-04,209.45
2020-05-05,210.35
2020-05-06,211.3
2020-05-07,210.3
2020-05-08,212.1
2020-05-11,222.5
2020-05-12,226.15
2020-05-13,231.05
2020-05-14,229.45
2020-05-15,230.1
2020-05-18,229.1
2020-05-19,233.55
2020-05-20,234.5
2020-05-21,234.75
2020-05-22,240.6
2020-05-26,239.75
2020-05-27,242.25
2020-05-28,245.9
2020-05-29,247.85
2020-06-01,260.2
2020-06-02,273.2
2020-06-03,273.15
2020-06-04,273.85
2020-06-05,284.2
2020-06-08,297.9
2020-06-09,312.75
2020-06-10,328.35
2020-06-11,332.1
2020-06-12,336.45
2020-06-15,346.1
2020-06-16,363.4
2020-06-17,381.55
2020-06-18,400.6
2020-06-19,420.6
2020-06-20,420.6
2020-06-22,441.6
2020-06-23,463.45
2020-06-24,440.3
2020-06-25,418.3
2020-06-26,397.4
2020-06-29,377.55
2020-06-30,358.7
2020-07-01,340.8
2020-07-02,357.8
2020-07-03,375.65
2020-07-06,394.4
2020-07-07,413.65
2020-07-08,393
