"Updated.On","State","Total.Individuals.Vaccinated","Total.Sessions.Conducted","Total.Sites","First.Dose.Administered","Second.Dose.Administered","Male.Individuals.Vaccinated.","Female.Individuals.Vaccinated.","Transgender.Individuals.Vaccinated.","Total.Covaxin.Administered","Total.CoviShield.Administered","Total.Sputnik.V.Administered","AEFI","Total.Doses.Administered","Total.Individuals.Vaccinated_Dailycalc","Population"
2021-06-04,"Goa",456053,40572,99,456053,95935,234900,221113,40,9573,542415,0,567,551988,7942,1586250
2021-06-04,"Gujarat",13674583,512778,2329,13674583,4261488,7358698,6314033,1852,2132268,15803803,0,1002,17936071,241298,63872399
2021-06-04,"Haryana",5151851,237081,911,5151851,1014174,2803632,2347301,918,894223,5271802,0,866,6166025,57136,28204692
2021-06-04,"Himachal Pradesh",2075616,52011,278,2075616,434079,1040207,1035037,372,0,2509695,0,675,2509695,15452,7451955
2021-06-04,"Jammu and Kashmir",2868479,293348,1038,2868479,561465,1679077,1188869,533,55774,3374170,0,122,3429944,27063,13606320
2021-06-04,"Jharkhand",3646348,362934,1532,3646348,732293,1967427,1678353,568,597383,3781258,0,617,4378641,66184,38593948
2021-06-04,"Karnataka",11899361,1616711,5043,11899361,2836000,6081337,5816194,1830,1624209,13111152,0,2535,14735361,302701,67562686
2021-06-04,"Kerala",7888884,320606,1218,7888884,2137743,3748295,4139368,1221,754258,9272350,19,2378,10026627,157895,35699443
2021-06-04,"Ladakh",137598,11000,37,137598,37301,72722,64859,17,0,174899,0,4,174899,3503,289023
2021-06-04,"Lakshadweep",30378,11200,10,30378,6964,16769,13607,2,0,37342,0,0,37342,1127,65840
2021-06-04,"Madhya Pradesh",10399189,709874,2662,10399189,1818300,5770793,4626564,1832,1542992,10674497,0,565,12217489,357963,85358965
2021-06-04,"Maharashtra",18959397,1245247,4606,18959397,4728102,10171294,8785443,2660,2901616,20785883,0,3970,23687499,336265,123144223
2021-06-04,"Manipur",412409,19379,109,412409,70790,229186,183116,107,0,483199,0,76,483199,10571,3091545
2021-06-04,"Meghalaya",400152,32284,238,400152,74455,208018,192093,41,0,474607,0,270,474607,2702,3366710
2021-06-04,"Mizoram",271082,5865,26,271082,51215,140101,130962,19,0,322297,0,724,322297,4054,1239244
2021-06-04,"Nagaland",229634,7756,45,229634,52048,133555,96060,19,0,281682,0,36,281682,1846,2249695
2021-06-04,"Odisha",6703769,223270,990,6703769,1498091,3573712,3128930,1127,860879,7340981,0,272,8201860,84633,46356334
2021-06-04,"Puducherry",230627,21360,58,230627,51565,119543,111053,31,74,282118,0,19,282192,2780,1413542
2021-06-04,"Punjab",4020410,497102,1710,4020410,788835,2271265,1748674,471,461592,4347653,0,131,4809245,55222,30141373
2021-06-04,"Rajasthan",14298417,819075,2957,14298417,3190493,7482414,6813762,2241,1374031,16114879,0,482,17488910,129041,81032689
2021-06-04,"Sikkim",179835,2355,18,179835,59713,96897,82911,27,0,239548,0,219,239548,177,690251
2021-06-04,"Tamil Nadu",7790199,1034732,2339,7790199,2086021,4289450,3499701,1048,1579310,8296910,0,132,9876220,244489,77841267
2021-06-04,"Telangana",5133125,330941,884,5133125,1295262,2677981,2454098,1046,1095401,5318347,14639,380,6428387,99470,39362732
2021-06-04,"Tripura",1123405,53261,201,1123405,507979,582243,540999,163,15121,1616263,0,63,1631384,6637,4169794
2021-06-04,"Uttar Pradesh",16254617,1226617,6184,16254617,3595557,9288158,6962496,3963,2277630,17572544,0,1199,19850174,379482,237882725
2021-06-04,"Uttarakhand",2301935,85874,545,2301935,686354,1184274,1117178,483,100401,2887888,0,292,2988289,24821,11250858
2021-06-04,"West Bengal",11795260,937852,2500,11795260,3931230,6615547,5178013,1700,1749972,13976518,0,1210,15726490,280500,99609303
2021-06-03,"India",175677634,11534619,41239,175677634,44153937,94288015,81361633,27986,25012565,194803940,15066,21470,219831571,2731684,1366400000
2021-06-03,"Andaman and Nicobar Islands",111001,2728,11,111001,15199,59832,51160,9,0,126200,0,3,126200,678,417036
2021-06-03,"Andhra Pradesh",7786969,707433,1008,7786969,2554332,3965736,3820087,1146,1904457,8436346,498,329,10341301,90891,53903393
2021-06-03,"Arunachal Pradesh",272908,19873,89,272908,78541,151974,120835,99,0,351449,0,268,351449,8061,1570458
2021-06-03,"Assam",3392421,134598,829,3392421,842950,1841617,1550267,537,838735,3396636,0,181,4235371,32721,35607039
2021-06-03,"Bihar",8764409,794305,2707,8764409,1820879,4812092,3950693,1624,865681,9719607,0,196,10585288,151753,124799926
2021-06-03,"Chandigarh",291718,16560,75,291718,74991,163954,127723,41,0,366709,0,132,366709,5884,1158473
2021-06-03,"Chhattisgarh",5146027,295299,1522,5146027,1121721,2516070,2629385,572,201339,6066409,0,564,6267748,2950,29436231
2021-06-03,"Dadra and Nagar Haveli and Daman and Diu",185784,11380,64,185784,26014,118375,67377,32,0,211798,0,87,211798,NA,NA
2021-06-03,"Delhi",4294738,156640,803,4294738,1264648,2489905,1804000,833,1687996,3871390,0,947,5559386,37562,18710922
2021-06-03,"Goa",448111,39400,97,448111,95604,230718,217354,39,9177,534538,0,567,543715,5721,1586250
2021-06-03,"Gujarat",13433285,391891,1852,13433285,4232690,7216757,6214740,1788,2105389,15560586,0,1000,17665975,149573,63872399
2021-06-03,"Haryana",5094715,231388,948,5094715,1009655,2768374,2325443,898,881211,5223159,0,864,6104370,69715,28204692
2021-06-03,"Himachal Pradesh",2060164,46570,243,2060164,433910,1030770,1029040,354,0,2494074,0,675,2494074,11201,7451955
2021-06-03,"Jammu and Kashmir",2841416,277715,986,2841416,557206,1663258,1177637,521,51441,3347181,0,122,3398622,27512,13606320
2021-06-03,"Jharkhand",3580164,195799,1003,3580164,726194,1929268,1650356,540,581158,3725200,0,599,4306358,34929,38593948
2021-06-03,"Karnataka",11596660,1378346,4452,11596660,2811046,5908628,5686351,1681,1584906,12822800,0,2534,14407706,233099,67562686
2021-06-03,"Kerala",7730989,295836,1214,7730989,2119299,3660864,4068986,1139,735829,9114459,0,2376,9850288,145429,35699443
2021-06-03,"Ladakh",134095,10493,38,134095,37300,70910,63168,17,0,171395,0,4,171395,3456,289023
2021-06-03,"Lakshadweep",29251,10810,9,29251,6955,16191,13058,2,0,36206,0,0,36206,1036,65840
2021-06-03,"Madhya Pradesh",10041226,753961,3064,10041226,1812268,5550998,4488574,1654,1410736,10442758,0,564,11853494,361139,85358965
2021-06-03,"Maharashtra",18623132,937360,3317,18623132,4679713,9988824,8631777,2531,2858281,20444564,0,3966,23302845,197749,123144223
2021-06-03,"Manipur",401838,8690,55,401838,70711,223725,178013,100,0,472549,0,76,472549,2566,3091545
2021-06-03,"Meghalaya",397450,36895,265,397450,74434,206546,190864,40,0,471884,0,270,471884,2267,3366710
2021-06-03,"Mizoram",267028,2205,10,267028,51171,137921,129089,18,0,318199,0,718,318199,1438,1239244
2021-06-03,"Nagaland",227788,11160,55,227788,52008,132516,95253,19,0,279796,0,35,279796,2619,2249695
